time,market,type,side,price,amount,deal_money,platform,deal_stock,deal_fee,user_id
 2021-07-14_21:04:41,USDTUSD,limit,buy,0.985,1994.8,1964.304641,hotbit,1994.8,6.089344387,1120379
 2021-07-14_21:03:18,USDTUSD,limit,buy,0.982,3719.43,1724.50002,hotbit,1756.11,5.345950062,1120379
 2021-07-14_20:58:55,USDTUSD,limit,sell,0.9819,3779.4,3710.99286,hotbit,3779.4,11.50407787,1120379
 2021-07-14_20:58:10,ETHUSDT,limit,sell,1989.94,1.9,3781.646747,hotbit,1.9,2.268988048,1120379
 2021-07-14_20:51:47,USDTUSD,limit,sell,0.9819,1.36,1.335384,hotbit,1.36,0.00413969,1120379
 2021-04-19_18:43:53,LCXUSDT,limit,buy,0.066304,3156,209.255424,hotbit,3156,-0.615698944,1120379
 2021-04-19_18:41:59,LCXUSDT,limit,buy,0.065,4167,62.075,hotbit,955,0.1910675,1120379
 2021-04-19_18:41:36,LCXUSDT,limit,buy,0.065,4167,270.499805,hotbit,4167,0.946749318,1120379
 2021-04-01_09:47:20,BNBUSDT,limit,buy,315.666436,1.0956,345.8441473,hotbit,1.0956,-0.172922074,1120379
 2021-04-01_09:35:17,BONDLYUSDT,limit,sell,0.5,662.2,331.23244,hotbit,662.2,1.49054598,1120379
 2021-04-01_09:34:03,YFDUSDT,limit,sell,122.93,0.1108,13.620644,hotbit,0.1108,0.061292898,1120379
 2021-04-01_09:33:29,VSNUSDT,limit,sell,0.000971,2951,2.865421,hotbit,2951,0.012894395,1120379
 2021-03-30_09:12:02,BNBETH,limit,buy,0.163565,0.0034,0.00055589,hotbit,0.0034,1.11E-06,1120379
 2021-03-30_09:10:18,BNBETH,limit,buy,0.163565,1.4415,0.235229106,hotbit,1.4415,0.000470458,1120379
 2021-03-30_09:08:09,KATETH,limit,sell,3.27E-06,71970,0.23558374,hotbit,71970,-0.00066652,1120379
 2021-03-22_22:38:42,BNBUSDT,limit,buy,256.914,2.0726,532.1113725,hotbit,2.0726,1.064222745,1120379
 2021-03-22_21:08:17,BUILDUSDT,limit,sell,30.1716,1.449,47.7334057,hotbit,1.449,0.214800326,1120379
 2021-03-22_14:15:24,BUILDUSDT,limit,buy,36,14.859,51.3073137,hotbit,1.449,-0.003207088,1120379
 2021-03-22_14:13:04,KATETH,limit,buy,4.51E-06,390,0.001760538,hotbit,390,3.18E-06,1120379
 2021-03-22_14:12:09,KATETH,limit,buy,4.51E-06,1070,0.004664984,hotbit,1070,2.10E-05,1120379
 2021-03-22_14:11:12,KATETH,limit,buy,4.17E-06,70510,0.292722034,hotbit,70510,0.000664243,1120379
 2021-03-22_14:07:45,ETHUSDT,limit,buy,1784.02,0.29984,534.9205568,hotbit,0.29984,-0.267460278,1120379
 2021-03-22_13:31:56,LCXUSDT,limit,sell,0.125008,2456,356.12,hotbit,2456,1.60254,1120379
 2021-03-22_13:19:15,WORLDUSDT,limit,sell,0.1337,2417,326.68248,hotbit,2417,0.71580261,1120379
 2021-03-22_13:16:35,LCXUSDT,limit,sell,0.125025,4692,288.502212,hotbit,2236,0.982259267,1120379
 2021-03-22_13:14:56,LCXUSDT,limit,sell,0.140789,5108,104.465438,hotbit,742,0.470094471,1120379
 2021-02-27_20:50:33,LCXUSDT,limit,buy,0.023919,14365,343.596435,hotbit,14365,1.546183958,1120379
 2021-02-27_20:48:56,CRUUSDT,limit,sell,13.8252,25,345.681612,hotbit,25,0.691363224,1120379
 2021-02-27_20:44:12,LCXUSDT,limit,buy,0.023919,3135,74.856152,hotbit,3135,0.336852684,1120379
 2021-02-27_20:43:21,CRUUSDT,limit,sell,13.8798,2.37,32.903531,hotbit,2.37,0.065807062,1120379
 2021-02-27_20:39:24,CRUUSDT,limit,sell,13.929,5,42.488474,hotbit,3.05,-0.010088477,1120379
 2021-02-27_20:33:02,LCXUSDT,limit,buy,0.024397,140,3.41558,hotbit,140,0.01537011,1120379
 2021-02-27_20:32:31,LCXUSDT,limit,buy,0.024885,2794,66.111777,hotbit,2794,0.297502997,1120379
 2021-02-27_20:31:49,CRUUSDT,limit,sell,13.8992,5,69.746878,hotbit,5,0.139493756,1120379
 2021-02-22_20:30:24,WORLDUSDT,limit,buy,0.1329,1083.9,144.05031,hotbit,1083.9,0.41329242,1120379
 2021-02-22_20:27:35,LINAUSDT,limit,sell,0.074192,1912,141.878821,hotbit,1912,0.283757642,1120379
 2021-02-19_22:53:06,LINAUSDT,limit,buy,0.087213,4689,408.941757,hotbit,4689,-1.226825271,1120379
 2021-02-19_22:51:42,ETHUSDT,limit,sell,1953.85,0.21016,410.621116,hotbit,0.21016,-0.205310558,1120379
 2021-02-12_19:34:28,VSNUSDT,limit,buy,0.001,2951,2.951,hotbit,2951,0.0132795,1120379
 2021-02-12_19:28:39,LINAUSDT,limit,buy,0.100567,1900,191.076922,hotbit,1900,0.859846149,1120379
 2021-02-12_19:25:52,BONDLYUSDT,limit,sell,0.4344,150,65.16,hotbit,150,0.29322,1120379
 2021-02-12_19:23:52,WORLDUSDT,limit,sell,0.1945,500,33.065,hotbit,170,0.1487925,1120379
 2021-02-12_19:23:49,WORLDUSDT,limit,sell,0.1945,500,97.53,hotbit,500,0.438885,1120379
 2021-02-09_23:39:35,WORLDUSDT,limit,buy,0.1242,21.3,2.64546,hotbit,21.3,-0.00793638,1120379
 2021-02-09_23:38:36,ETHUSDT,limit,sell,1772.72,0.0015,2.65908,hotbit,0.0015,0.00531816,1120379
 2021-02-09_23:37:15,WORLDUSDT,limit,buy,0.1244,11.1,1.38084,hotbit,11.1,0.00621378,1120379
 2021-02-09_23:34:01,WORLDUSDT,limit,buy,0.1269,425.8,52.90021,hotbit,425.8,-0.017589105,1120379
 2021-02-09_23:32:45,CRUUSDT,limit,sell,10.413,5,52.065,hotbit,5,0.10413,1120379
 2021-02-09_23:21:42,WORLDUSDT,limit,buy,0.1284,1544.9,196.64897,hotbit,1544.9,0.289978965,1120379
 2021-02-09_23:19:35,ETHUSDT,limit,sell,1761.79,0.03,52.8537,hotbit,0.03,-0.02642685,1120379
 2021-02-09_23:16:12,BONDLYUSDT,limit,sell,0.4197,105,44.0685,hotbit,105,0.19830825,1120379
